Opponent A,Opponent B,Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision1B,Decision2,Decision2B,Decision3,Decision3B
George Sotiropoulos,KJ Noons,29,6,0,0,0,0:00,4,77,20,0,1,0,0:26,13,93,24,0,0,0,0:00,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44,21,0,0,0,0:00,9,59,14,0,0,0,0:00,4,64,21,0,0,0,0:00,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,28,29
Jon Jones,Alexander Gustafsson,39,28,0,0,0,0:05,5,42,26,0,0,0,0:06,5,42,29,0,0,0,0:00,11,49,27,0,0,0,0:23,17,45,24,0,1,0,0:25,15,48,19,0,1,0,0:12,8,51,15,0,0,0,0:02,9,64,26,0,0,0,0:05,14,60,26,0,0,0,0:00,15,65,24,0,0,0,0:00,17,48,47,48,47,49,46
Pat Healy,Khabib Nurmagomedov,76,19,0,0,0,0:01,10,59,19,0,0,0,0:05,13,22,6,0,0,0,0:00,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,70,29,0,1,0,0:25,22,38,15,0,2,0,1:55,10,22,10,0,2,0,4:11,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Michel Prazeres,Jesse Ronson,5,3,0,3,0,4:20,2,8,3,0,3,0,3:10,2,30,13,0,1,0,1:06,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,0,0,0,0,0:00,0,23,14,0,0,0,0:00,5,46,24,0,1,0,0:46,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,29,28
Roland Delorme,Alex Caceres,31,13,1,0,1,0:00,10,49,20,0,1,0,0:46,10,35,14,0,0,0,0:57,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38,25,0,0,0,3:15,20,68,43,0,0,0,0:15,35,56,38,0,0,0,0:54,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,28,29,28,29
Erik Koch,Dustin Poirier,15,8,0,0,2,0:14,2,35,9,0,0,0,0:00,4,24,15,0,0,3,3:15,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44,27,2,1,1,3:28,22,39,19,0,1,1,2:47,14,9,8,0,0,0,1:16,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,29,27,29,28,29
Jamie Varner,Gleison Tibau,22,10,0,0,0,0:00,6,2,0,0,0,1,0:00,0,52,27,0,1,0,1:56,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,7,0,1,0,1:05,6,17,13,0,0,0,4:20,11,17,6,0,1,0,0:15,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,27
Louis Gaudinot,Tim Elliott,35,13,0,0,0,0:14,5,34,11,0,0,0,0:00,4,9,4,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,70,40,0,3,1,2:28,20,61,30,0,1,1,2:15,21,69,46,0,2,0,4:25,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,26,30,26,30
Chico Camus,Kyung Ho Kang,19,6,0,0,0,0:05,5,26,12,0,0,1,2:02,12,24,10,0,0,0,0:21,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,9,0,1,0,3:31,6,7,3,0,1,0,2:48,3,33,6,0,1,0,2:59,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Ryan Couture,Al Iaquinta,53,17,0,0,0,0:07,9,47,12,0,0,0,0:25,4,55,16,0,0,0,0:36,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62,29,0,2,0,0:12,20,53,19,0,1,0,0:14,14,62,32,0,1,0,0:27,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Lyoto Machida,Phil Davis,20,10,0,0,0,0:00,4,19,7,0,0,0,0:00,5,22,10,0,0,0,0:22,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,8,0,1,0,0:51,1,40,8,0,1,0,0:20,3,27,5,0,0,0,0:00,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Thales Leites,Tom Watson,29,18,0,1,1,3:45,17,50,26,0,2,1,1:49,25,12,7,0,2,1,4:29,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,10,0,0,0,0:04,5,40,19,0,0,0,1:06,11,8,4,0,0,0,0:04,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Ian McCall,Iliarde Santos,78,34,0,0,0,0:38,14,77,31,0,0,0,0:00,10,71,27,0,1,0,0:23,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46,12,0,0,0,0:00,10,59,16,0,1,0,0:28,11,67,15,0,0,0,0:10,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Rani Yahya,Josh Clopton,19,9,0,0,1,3:11,9,15,4,0,1,0,4:13,3,6,1,0,1,0,0:59,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,0,0,0,0,0:39,0,2,0,0,0,0,0:00,0,9,5,0,0,0,2:40,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Ednaldo Oliveira,Francimar Barroso,32,5,0,0,0,0:06,5,28,10,0,0,0,1:35,8,11,4,0,0,0,1:33,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,12,0,0,0,0:00,2,22,11,0,1,0,1:03,5,12,8,0,1,0,2:37,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,27,30
Danny Castillo,Tim Means,7,3,0,3,0,4:01,1,33,10,0,2,0,1:25,5,39,12,0,1,0,0:10,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,5,0,0,0,0:00,4,33,12,0,0,0,0:00,6,52,21,0,0,0,0:41,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Yves Edwards,Daron Cruickshank,40,17,0,0,0,0:00,5,53,18,0,0,0,0:00,4,33,13,0,0,0,0:00,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44,14,0,0,0,0:00,6,57,18,0,0,0,0:00,6,41,12,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,27,30,27,30
Ed Herman,Trevor Smith,59,41,0,0,0,0:03,25,36,17,0,1,0,1:13,12,34,15,0,1,1,2:02,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,36,0,0,0,2:18,15,31,25,0,1,0,1:02,12,32,26,0,0,1,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,29,28,30,27
Julie Kedzie,Germaine de Randamie,22,13,0,0,0,0:39,2,27,8,0,1,0,2:57,2,27,7,0,1,0,1:15,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,25,0,0,0,2:54,2,16,6,0,0,0,0:00,2,34,19,0,0,0,0:57,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,29,28,28,29
Aaron Riley,Justin Salas,53,8,0,0,0,0:00,3,52,8,0,0,0,0:00,5,67,10,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,48,18,0,2,0,0:06,14,52,20,0,1,0,0:24,12,40,16,0,0,0,0:00,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,28
Frankie Edgar,Charles Oliveira,47,24,0,0,0,1:46,13,43,23,0,2,0,1:41,16,56,34,0,0,0,1:36,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37,12,0,0,0,0:00,9,49,15,0,0,1,0:00,8,39,11,0,0,0,0:01,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Tim Kennedy,Roger Gracie,15,5,0,0,0,0:48,0,36,26,0,2,0,3:47,15,41,23,0,0,0,1:36,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,7,0,2,0,2:52,4,8,4,0,0,0,0:11,3,11,1,0,0,0,0:23,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Mark Munoz,Tim Boetsch,24,13,0,2,0,2:14,7,38,28,0,2,0,3:26,8,40,28,0,1,2,3:46,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,17,0,1,1,1:36,6,14,5,0,0,0,0:32,2,4,1,0,0,2,0:51,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,26,29,28,30,27
Chris Leben,Andrew Craig,22,13,0,0,0,2:46,6,25,8,0,0,0,1:46,6,19,9,0,0,0,0:29,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,15,0,0,0,0:20,9,43,27,0,0,0,0:23,21,35,22,0,2,0,2:42,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,29,28
Norman Parke,Kazuki Tokudome,35,21,0,0,0,1:03,10,55,33,0,2,0,1:52,29,38,14,0,0,0,1:48,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,13,0,0,0,1:34,5,49,20,0,0,0,0:00,14,40,10,0,1,0,1:04,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Roy Nelson,Stipe Miocic,46,10,0,0,0,0:18,7,34,8,0,0,0,0:00,7,47,5,0,0,0,0:03,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64,32,0,0,0,0:26,26,58,39,0,0,0,0:51,33,50,35,0,1,0,0:48,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Ryan Jimmo,Igor Pokrajac,47,36,0,0,0,1:48,8,20,15,1,1,0,4:37,11,16,14,0,0,0,4:19,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,7,0,0,0,0:57,3,5,1,0,0,0,0:00,1,8,4,0,0,1,0:01,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Ildemar Alcantara,Leandro Silva,20,8,0,1,0,1:21,3,46,13,0,0,0,0:08,8,39,12,0,2,0,1:34,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9,5,0,0,0,1:02,2,35,19,0,0,0,0:00,7,43,26,0,0,0,0:16,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Rodrigo Damm,Mizuto Hirota,41,19,0,1,0,1:30,11,65,27,0,0,0,0:00,20,56,30,0,1,0,0:14,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43,26,0,0,0,0:00,15,77,40,0,0,0,0:00,24,79,36,0,0,0,0:00,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,29,28
Donald Cerrone,KJ Noons,63,29,0,1,0,0:03,13,46,26,0,2,0,1:58,18,43,23,0,1,0,3:47,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60,20,0,0,0,0:00,7,40,16,0,0,0,0:00,8,22,6,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,26,30,27
Mike Pyle,Rick Story,10,4,0,0,1,0:00,1,14,4,0,0,1,0:00,2,50,25,0,0,0,0:24,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52,27,1,1,0,3:37,22,11,7,0,1,0,3:58,3,48,23,0,1,0,1:53,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,28,29
Dennis Bermudez,Max Holloway,58,19,0,0,0,0:31,10,66,18,0,1,0,0:44,11,101,36,0,3,0,2:13,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64,23,0,0,0,0:00,20,73,28,0,0,0,0:08,24,56,24,0,0,0,0:00,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,28,29
Khabib Nurmagomedov,Abel Trujillo,9,4,0,7,2,2:15,2,19,13,0,5,0,3:46,9,12,6,0,9,0,4:28,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,2,0,1,0,1:25,1,17,8,0,0,0,0:08,7,3,1,0,0,0,0:04,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Stephen Thompson,Nah-Shon Burrell,32,15,0,1,0,3:15,5,47,22,0,0,0,1:31,9,55,28,0,1,0,1:32,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,18,0,0,0,0:21,3,34,15,0,0,0,0:19,7,52,23,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Jeremy Stephens,Estevan Payan,34,16,0,2,0,2:13,7,17,12,0,2,1,3:54,7,37,21,0,2,0,2:59,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,11,0,0,1,0:00,5,25,6,0,0,0,0:00,4,27,8,0,0,0,0:17,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,26,30,27,30,26
Rafael Dos Anjos,Evan Dunham,40,20,0,0,0,0:00,9,58,20,0,0,0,0:32,13,85,26,0,0,0,0:10,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63,12,0,1,0,1:27,11,84,19,0,2,0,0:25,16,123,37,0,0,0,0:48,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Rafael Natal,Joao Zeferino,13,3,0,0,0,0:11,2,30,13,0,0,0,1:54,5,24,13,0,1,0,2:47,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,5,0,0,2,0:13,4,16,6,0,0,0,0:03,5,10,3,0,0,0,0:05,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,29,28
Hacran Dias,Nik Lentz,29,10,0,0,0,0:33,7,12,6,0,0,0,0:04,5,45,24,0,1,1,3:03,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41,13,0,1,0,2:16,11,34,23,1,3,0,4:30,19,20,6,0,0,0,0:42,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,28,28,29,28,29
Paulo Thiago,Michel Prazeres,29,16,0,0,0,0:03,4,21,11,0,1,0,1:58,5,42,19,0,1,0,0:41,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,10,0,1,0,2:09,3,6,4,0,2,0,1:48,1,34,16,0,0,0,0:45,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Fabio Maldonado,Roger Hollett,18,5,0,0,0,0:00,2,53,38,0,0,0,1:35,14,80,57,0,1,0,1:43,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,5,0,2,0,2:28,1,24,17,0,0,0,0:47,9,12,7,0,0,0,1:12,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,29,28,29,27
Jussier Formiga,Chris Cariaso,7,3,0,2,0,3:30,1,14,6,0,1,0,3:18,4,5,1,0,1,0,2:02,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,2,0,0,0,0:00,0,29,7,0,0,0,0:00,3,44,17,0,1,1,1:21,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Michael Bisping,Alan Belcher,56,23,0,0,0,0:00,11,85,36,0,0,0,0:00,24,84,34,0,0,0,0:08,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49,13,0,0,0,0:00,3,49,10,0,0,0,0:00,6,52,6,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,29,28
Phil Davis,Vinny Magalhaes,97,32,0,0,0,0:14,28,94,26,0,0,0,0:28,24,77,21,0,0,0,0:13,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62,11,0,1,0,0:20,5,43,10,0,0,0,0:00,5,46,8,0,0,0,0:00,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,29,28
Gian Villante,Ovince Saint Preux,14,10,0,0,0,1:04,2,30,17,0,0,0,0:07,3,6,1,0,0,0,0:00,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38,27,0,0,0,0:42,22,42,18,0,0,0,0:00,9,4,2,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,30,29,29,29,30
Leonard Garcia,Cody McKenzie,0,0,0,0,0,0:20,0,15,3,0,0,0,0:00,1,62,12,0,0,0,0:00,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,6,0,2,4,4:28,6,8,5,0,2,0,3:55,4,40,19,0,1,0,0:48,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,27,30
Benson Henderson,Gilbert Melendez,17,9,0,0,0,0:38,1,41,15,0,0,0,0:00,6,29,15,0,0,0,0:44,5,38,15,0,0,0,0:05,3,41,14,0,0,0,0:00,5,29,7,0,1,0,0:43,1,47,13,0,0,0,0:00,5,32,7,0,0,0,0:00,2,30,8,0,0,0,0:07,2,53,8,0,0,0,0:01,6,48,47,48,47,47,48
Frank Mir,Daniel Cormier,22,7,0,0,0,0:01,2,19,6,0,0,0,0:00,2,19,11,0,0,0,0:17,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,24,0,0,0,2:27,9,27,17,0,0,0,2:31,8,30,18,0,0,0,2:36,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Francis Carmont,Lorenz Larkin,24,1,0,0,0,1:40,1,35,8,0,1,0,0:56,5,16,3,0,1,0,2:41,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,10,0,0,0,0:00,4,39,19,0,0,0,0:00,6,15,3,0,0,0,0:08,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Tim Means,Jorge Masvidal,55,16,0,0,0,0:00,7,34,10,0,0,0,0:00,10,44,17,0,0,0,0:18,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,15,0,1,0,0:40,11,53,24,0,3,0,3:44,18,34,11,0,2,0,2:58,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Gegard Mousasi,Ilir Latifi,41,20,0,0,0,0:06,12,52,24,0,0,0,0:00,20,57,36,0,0,0,0:00,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,4,0,0,0,0:00,4,39,6,0,0,0,0:00,3,39,8,0,1,0,0:31,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Brad Pickett,Mike Easton,54,26,0,2,0,0:57,16,88,29,0,1,0,1:14,21,63,13,0,1,0,2:23,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43,25,0,1,0,1:40,12,65,29,0,1,0,0:46,19,47,17,0,1,0,0:04,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,28,29
Akira Corassani,Robert Peralta,34,19,0,0,0,0:32,5,33,18,0,0,0,0:49,9,19,11,0,2,0,3:09,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54,17,0,0,0,0:29,6,57,30,0,0,0,1:09,15,33,20,0,0,0,0:33,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Chris Spang,Adlan Amagov,16,1,0,0,0,0:00,0,12,2,0,0,0,0:00,0,29,2,0,0,0,0:00,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,10,0,1,0,0:03,2,25,7,0,2,0,2:31,4,51,21,0,3,0,1:55,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Ben Alloway,Ryan LaFlare,5,2,0,0,0,0:00,1,11,3,0,1,0,1:05,2,12,4,0,0,0,0:23,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,10,0,3,0,4:09,7,40,17,0,2,1,2:05,8,28,10,0,1,0,3:28,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Papy Abedi,Besam Yousef,31,17,0,2,0,2:32,4,33,23,0,1,0,1:39,7,16,13,0,1,0,1:26,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,12,0,0,0,0:50,6,33,16,0,1,0,1:22,7,23,15,0,1,0,2:13,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,28,29
Georges St-Pierre,Nick Diaz,21,12,0,3,0,4:50,9,29,18,0,1,0,3:16,11,54,28,0,2,0,1:30,21,31,24,0,2,0,2:12,17,32,23,0,1,0,1:56,11,4,1,0,0,0,0:00,1,20,3,0,0,0,0:00,2,42,15,0,0,0,0:00,12,38,11,0,0,1,0:00,2,32,11,0,0,0,0:36,2,50,45,50,45,50,45
Carlos Condit,Johny Hendricks,39,15,0,0,0,0:24,11,49,13,0,0,0,0:00,7,57,14,0,0,0,0:00,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,14,0,4,0,2:18,12,27,12,0,4,0,2:40,10,10,4,0,4,0,3:03,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Nick Ring,Chris Camozzi,72,27,0,0,0,0:00,6,78,29,0,0,0,0:00,15,75,30,0,0,0,0:00,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,73,15,0,0,0,0:00,10,75,19,0,0,0,0:02,14,99,30,0,0,0,0:18,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,28
Mike Ricci,Colin Fletcher,52,18,0,0,0,0:00,12,41,17,0,1,0,1:47,12,44,12,0,1,0,1:52,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54,15,0,0,0,0:08,2,37,10,0,0,0,0:20,2,36,12,0,0,0,0:47,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Patrick Cote,Bobby Voelker,46,26,0,0,0,0:53,19,73,36,0,0,0,1:30,27,16,10,0,0,0,1:19,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,15,0,1,0,2:15,10,80,37,0,0,0,0:34,23,56,31,0,3,0,2:54,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
John Makdessi,Daron Cruickshank,41,11,0,0,0,0:00,4,62,28,0,0,0,0:00,19,92,47,0,0,0,0:11,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54,12,0,0,0,0:02,5,70,23,0,0,0,0:00,15,74,16,0,0,0,0:00,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
George Roop,Reuben Duran,42,16,0,0,0,0:00,8,14,5,0,1,1,2:05,4,19,12,0,1,0,2:18,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,14,0,1,0,2:56,12,12,6,0,0,0,2:09,2,11,10,0,0,0,2:26,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Takanori Gomi,Diego Sanchez,50,28,0,0,0,0:03,15,65,31,0,0,0,0:00,18,65,22,0,0,0,0:00,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41,22,0,2,1,0:20,8,49,27,0,0,0,0:00,13,55,16,0,0,0,0:00,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,28,29,28,29
Yushin Okami,Hector Lombard,33,14,0,2,0,2:01,3,36,19,0,1,0,2:20,18,20,4,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,13,0,0,0,0:23,8,22,10,0,0,0,0:00,4,41,22,0,0,0,3:27,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,28,29
Mizuto Hirota,Rani Yahya,1,0,0,0,0,0:50,0,3,0,0,0,0,0:15,0,10,4,0,1,0,2:04,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,3,0,3,0,3:20,3,13,8,0,1,1,4:21,6,8,2,0,1,0,1:18,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Dong Hyun Kim,Siyar Bahadurzada,10,6,0,1,0,2:42,5,12,6,0,1,0,3:57,6,36,11,0,1,1,4:35,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,1,0,0,0,0:02,1,7,1,0,0,0,0:00,1,6,3,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Riki Fukuda,Brad Tavares,41,16,0,1,0,0:39,4,54,20,0,0,0,0:20,11,77,33,0,0,0,0:00,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57,29,0,0,0,0:00,19,91,43,0,0,0,0:00,30,106,44,0,0,0,0:00,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,27,30
Takeya Mizugaki,Bryan Caraway,40,25,0,0,0,0:12,15,23,13,0,0,0,0:00,8,54,29,0,0,0,0:00,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,13,0,1,0,1:29,12,23,7,0,1,1,2:54,5,34,17,0,0,0,1:23,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,29,28
Cristiano Marcello,Kazuki Tokudome,29,15,0,0,0,0:02,10,23,7,0,1,0,0:28,6,24,11,0,0,0,0:25,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,14,0,0,0,2:54,7,21,10,0,1,0,2:52,8,29,9,1,1,0,2:40,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Lyoto Machida,Dan Henderson,18,10,0,1,0,0:05,6,25,11,0,0,0,0:00,7,11,6,0,0,0,0:00,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,12,0,0,0,0:00,2,26,6,0,0,0,0:00,2,10,2,0,1,0,1:53,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,28,29
