Round score,Diff_Sig_Strikes_Attempted,Diff_Sig_Strikes_Landed,Diff_KD,Diff_TD,Diff_Sub_Attempts,Diff_Ctrl_Time,Diff_Head_Strikes
-1,5,4,0,-1,0,-178,0
2,-1,-3,0,2,0,258,-1
-2,1,3,0,-2,0,-258,1
1,4,5,0,1,0,251,8
-1,-4,-5,0,-1,0,-251,-8
1,24,2,0,-1,0,-32,-1
-1,-24,-2,0,1,0,32,1
1,-9,5,0,-1,0,-33,8
-1,9,-5,0,1,0,33,-8
1,-6,-9,0,2,0,94,-2
-1,6,9,0,-2,0,-94,2
1,3,4,0,-1,0,-207,1
-1,-3,-4,0,1,0,207,-1
1,7,6,0,1,-1,253,6
-1,-7,-6,0,-1,1,-253,-6
1,24,11,0,1,-1,113,12
-1,-24,-11,0,-1,1,-113,-12
1,19,17,0,0,0,272,7
-1,-19,-17,0,0,0,-272,-7
1,3,8,0,0,0,197,5
-1,-3,-8,0,0,0,-197,-5
1,-15,5,0,0,0,38,4
-1,15,-5,0,0,0,-38,-4
1,-10,-5,0,2,0,174,-1
-1,10,5,0,-2,0,-174,1
1,-25,-5,0,2,0,51,2
-1,25,5,0,-2,0,-51,-2
1,-18,6,0,0,0,52,9
-1,18,-6,0,0,0,-52,-9
1,38,23,0,0,0,0,1
-1,-38,-23,0,0,0,0,-1
1,39,28,0,0,0,0,5
-1,-39,-28,0,0,0,0,-5
1,34,20,0,0,0,0,3
-1,-34,-20,0,0,0,0,-3
1,-4,8,0,0,0,0,2
-1,4,-8,0,0,0,0,-2
1,24,18,0,0,0,-1,12
-1,-24,-18,0,0,0,1,-12
1,29,15,0,0,-1,-16,16
-1,-29,-15,0,0,1,16,-16
1,6,10,0,0,0,-27,-1
-1,-6,-10,0,0,0,27,1
1,11,14,0,0,0,79,6
-1,-11,-14,0,0,0,-79,-6
1,13,8,0,1,0,175,7
-1,-13,-8,0,-1,0,-175,-7
1,-7,-1,0,1,0,124,1
-1,7,1,0,-1,0,-124,-1
1,-2,0,0,1,0,4,4
-1,2,0,0,-1,0,-4,-4
1,15,-2,0,-1,0,-6,-3
-1,-15,2,0,1,0,6,3
1,-4,-2,0,1,0,205,-1
-1,4,2,0,-1,0,-205,1
1,20,12,1,0,0,57,8
-1,-20,-12,-1,0,0,-57,-8
1,2,13,1,-4,-1,-59,14
-1,-2,-13,-1,4,1,59,-14
1,15,15,1,-1,-2,53,14
-1,-15,-15,-1,1,2,-53,-14
2,-4,3,0,1,0,234,2
-2,4,-3,0,-1,0,-234,-2
1,-6,-2,0,2,0,106,-1
-1,6,2,0,-2,0,-106,1
1,10,-7,0,0,0,-13,-2
-1,-10,7,0,0,0,13,2
1,12,4,0,0,0,-5,8
-1,-12,-4,0,0,0,5,-8
1,8,8,0,2,0,219,5
-1,-8,-8,0,-2,0,-219,-5
1,11,12,0,0,0,0,4
-1,-11,-12,0,0,0,0,-4
1,10,11,0,1,-1,58,1
-1,-10,-11,0,-1,1,-58,-1
1,4,9,0,0,0,-46,4
-1,-4,-9,0,0,0,46,-4
1,5,8,0,1,0,29,1
-1,-5,-8,0,-1,0,-29,-1
1,12,15,0,2,-2,241,14
-1,-12,-15,0,-2,2,-241,-14
1,3,3,0,1,0,103,5
-1,-3,-3,0,-1,0,-103,-5
