Winner,Opponent_A,Opponent_B,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media_score_ratio_of_agreement,Full_Scores,Rd1_Fans,Rd2_Fans,Rd3_Fans,Rd4_Fans,Rd5_Fans
Lansberg,Lina Lansberg,Gina Mazany,1,1,-1,--,--,1,1,1,--,--,1,1,1,--,--,0.867,"['29', '28', '30', '27', '30', '27']"
Pedersoli Jr.,Carlos Pedersoli Jr.,Brad Scott,-1,1,1,--,--,-1,1,1,--,--,-1,-1,1,--,--,1.0,"['29', '28', '29', '28', '28', '29']",-0.972,0.944,0.944
Theodorou,Elias Theodorou,Trevor Smith,1,1,1,--,--,1,1,1,--,--,1,1,-1,--,--,1.0,"['30', '27', '30', '27', '29', '28']"
Cannetti,Guido Cannetti,Diego Rivas,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Lee,Andrea Lee,Veronica Hardy,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Prazeres,Michel Prazeres,Zak Cummings,1,1,-1,--,--,-1,1,-1,--,--,1,1,-1,--,--,0.929,"['29', '28', '28', '29', '29', '28']",1.0,-0.364,-0.272
Pantoja,Alexandre Pantoja,Brandon Moreno,2,1,-1,--,--,2,1,1,--,--,2,1,1,--,--,1.0,"['29', '27', '30', '26', '30', '26']"
Barzola,Enrique Barzola,Brandon Davis,1,2,1,--,--,1,2,1,--,--,1,1,1,--,--,1.0,"['30', '26', '30', '26', '30', '27']"
Saenz,Frankie Saenz,Henry Briones,1,1,2,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '26', '30', '27', '30', '27']"
Emeev,Ramazan Emeev,Alberto Mina,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Edgar,Frankie Edgar,Cub Swanson,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Sterling,Aljamain Sterling,Brett Johns,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
LaFlare,Ryan LaFlare,Alex Garcia,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Anderson,Corey Anderson,Patrick Cummins,2,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '26', '30', '26', '30', '27']"
Martin,Anthony Rocco Martin,Keita Nakamura,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Adesanya,Israel Adesanya,Marvin Vettori,1,1,-1,--,--,1,1,-1,--,--,-1,1,-1,--,--,0.882,"['29', '28', '29', '28', '28', '29']",0.3,0.902,-0.887
Waterson-Gomez,Michelle Waterson-Gomez,Cortney Casey,-1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.059,"['28', '29', '29', '28', '29', '28']",-0.48,0.567,-0.714
Moraga,John Moraga,Wilson Reis,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.833,"['29', '28', '29', '28', '29', '28']",0.857,0.38,-1.024
Mueller,Lauren Mueller,Shana Dobson,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.75,"['29', '28', '29', '28', '29', '28']"
Okami,Yushin Okami,Dhiego Lima,1,1,2,--,--,1,1,2,--,--,1,1,2,--,--,1.0,"['30', '26', '30', '26', '30', '26']"
Sanders,Luke Sanders,Patrick Williams,1,-1,1,--,--,1,1,1,--,--,1,1,1,--,--,0.933,"['29', '28', '30', '27', '30', '27']"
Nurmagomedov,Khabib Nurmagomedov,Al Iaquinta,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1.0,"['50', '44', '50', '43', '50', '43']",1.258,1.787,0.978,0.875,1.322
Namajunas,Rose Namajunas,Joanna Jedrzejczyk,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,0.818,"['49', '46', '49', '46', '49', '46']",0.882,0.678,-0.827,-0.73,0.675
Moicano,Renato Moicano,Calvin Kattar,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",0.289,0.846,1.02
Magomedsharipov,Zabit Magomedsharipov,Kyle Bochniak,1,1,1,--,--,1,1,1,--,--,1,1,-1,--,--,1.0,"['30', '27', '30', '27', '29', '28']",1.024,1.06,0.578
Kowalkiewicz,Karolina Kowalkiewicz,Felice Herrig,1,1,-1,--,--,1,1,-1,--,--,-1,1,-1,--,--,1.0,"['29', '28', '29', '28', '28', '29']",0.847,0.983,0.212
Evans-Smith,Ashlee Evans-Smith,Bec Rawlings,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Clark,Devin Clark,Mike Rodriguez,1,1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['30', '27', '30', '27', '29', '28']"
Blachowicz,Jan Blachowicz,Jimi Manuwa,1,-1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '30', '27', '29', '28']",1.25,-0.4,1.012
Duquesnoy,Tom Duquesnoy,Terrion Ware,1,1,1,--,--,1,-1,1,--,--,1,1,-1,--,--,0.625,"['30', '27', '29', '28', '29', '28']",0.641,-0.566,-0.522
Johnson,Kajan Johnson,Stevie Ray,1,1,-1,--,--,1,1,-1,--,--,-1,1,-1,--,--,0.615,"['29', '28', '29', '28', '28', '29']",0.5,0.37,-0.925
O'Malley,Sean O'Malley,Andre Soukhamthath,1,1,-1,--,--,2,1,-1,--,--,2,1,-1,--,--,0.938,"['29', '28', '29', '27', '29', '27']",1.6,0.85,-1.039
Arlovski,Andrei Arlovski,Stefan Struve,1,-1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '30', '27', '29', '28']",0.94,-0.181,0.818
Vieira,Ketlen Vieira,Cat Zingano,1,1,-1,--,--,1,1,-1,--,--,-1,1,-1,--,--,1.0,"['29', '28', '29', '28', '28', '29']",0.723,1.108,0.292
Dern,Mackenzie Dern,Ashley Yoder,-1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.95,"['28', '29', '29', '28', '29', '28']",0.506,-0.888,0.932
Dodson,John Dodson,Pedro Munhoz,1,1,1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.714,"['30', '27', '28', '29', '29', '28']",0.972,-0.152,-0.097
Stamann,Cody Stamann,Bryan Caraway,-1,1,1,--,--,-1,1,1,--,--,-1,1,-1,--,--,0.267,"['29', '28', '29', '28', '28', '29']",-0.98,0.748,-0.04
Johnson,Jordan Johnson,Adam Milstead,-1,1,1,--,--,-1,-1,-1,--,--,-1,1,1,--,--,0.643,"['29', '28', '27', '30', '29', '28']",-0.806,0.694,-0.334
Andrade,Jessica Andrade,Tecia Torres,-1,1,2,--,--,-1,1,1,--,--,-1,1,1,--,--,0.952,"['29', '27', '29', '28', '29', '28']",-0.185,0.615,1.231
Griffin,Max Griffin,Mike Perry,1,1,1,--,--,1,2,-1,--,--,1,2,-1,--,--,1.0,"['30', '27', '29', '27', '29', '27']",0.934,1.4,-1.067
Hill,Angela Hill,Maryna Moroz,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,0.917,"['30', '27', '30', '27', '30', '27']"
Perez,Alex Perez,Eric Shelton,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Vick,James Vick,Francisco Trinaldo,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",0.896,0.771,-0.208
Davis,Brandon Davis,Steven Peterson,1,1,1,--,--,1,1,2,--,--,1,-1,1,--,--,1.0,"['30', '27', '30', '26', '29', '28']"
Northcutt,Sage Northcutt,Thibault Gouti,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.316,"['29', '28', '29', '28', '29', '28']",0.297,-0.877,0.5
Pudilova,Lucie Pudilova,Sarah Moras,-1,1,1,--,--,-1,1,1,--,--,-1,1,2,--,--,1.0,"['29', '28', '29', '28', '29', '27']",-0.5,0.934,0.866
Machida,Lyoto Machida,Eryk Anders,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,1,-1,1,0.304,"['48', '47', '47', '48', '49', '46']",0.972,-0.157,-0.718,-0.829,0.7
Prazeres,Michel Prazeres,Desmond Green,1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.938,"['30', '27', '29', '28', '29', '28']"
Johnson,Tim Johnson,Marcelo Golm,1,1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['30', '27', '29', '28', '29', '28']"
Silva de Andrade,Douglas Silva de Andrade,Marlon Vera,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Moraes,Sergio Moraes,Tim Means,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.071,"['29', '28', '28', '29', '29', '28']",0.774,-0.726,-0.938
Fili,Andre Fili,Dennis Bermudez,1,-1,1,--,--,1,1,-1,--,--,-1,-1,-1,--,--,0.2,"['29', '28', '29', '28', '27', '30']",0.007,-0.152,-0.93
Dober,Drew Dober,Frank Camacho,-1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,0.5,"['29', '28', '29', '28', '30', '27']",-0.848,0.988,-0.207
Green,Bobby Green,Erik Koch,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Chookagian,Katlyn Chookagian,Mara Romero Borella,1,1,-1,--,--,-1,1,1,--,--,1,1,1,--,--,0.714,"['29', '28', '29', '28', '30', '27']",-0.443,0.173,0.404
Markos,Randa Markos,Juliana Lima,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Kim,Ji Yeon Kim,Justine Kish,-1,-1,1,--,--,1,1,1,--,--,1,-1,1,--,--,0.267,"['28', '29', '30', '27', '29', '28']",-0.613,-0.8,0.427
Pichel,Vinc Pichel,Joaquim Silva,1,1,-1,--,--,1,1,-1,--,--,-1,1,1,--,--,0.5,"['29', '28', '29', '28', '29', '28']",-0.081,0.817,-0.653
Miocic,Stipe Miocic,Francis Ngannou,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1.0,"['50', '44', '50', '44', '50', '44']",0.903,1.181,1.319,2.065,1.207
Villante,Gian Villante,Francimar Barroso,1,1,1,--,--,1,1,1,--,--,1,-1,-1,--,--,1.0,"['30', '27', '30', '27', '28', '29']",1.018,0.836,0.746
Bochniak,Kyle Bochniak,Brandon Davis,1,1,1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.867,"['30', '27', '29', '28', '29', '28']"
Barzola,Enrique Barzola,Matt Bessette,1,1,-1,--,--,1,1,1,--,--,1,1,-1,--,--,0.895,"['29', '28', '30', '27', '29', '28']"
Clark,Jessica-Rose Clark,Paige VanZant,1,1,1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['30', '27', '29', '28', '29', '28']",1.0,0.834,-0.238
Usman,Kamaru Usman,Emil Meek,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.905,0.858,1.12
Krause,James Krause,Alex White,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.714,"['29', '28', '29', '28', '29', '28']"
Aldana,Irene Aldana,Talita Bernardo,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Aldrich,J.J. Aldrich,Danielle Taylor,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Burnell,Mads Burnell,Mike Santiago,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Cyborg,Cristiane Cyborg,Holly Holm,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,1.0,"['49', '46', '48', '47', '48', '47']",0.421,0.227,0.959,0.939,0.797
Nurmagomedov,Khabib Nurmagomedov,Edson Barboza,2,2,1,--,--,2,2,1,--,--,2,2,2,--,--,1.0,"['30', '25', '30', '25', '30', '24']",1.954,1.974,1.55
Esparza,Carla Esparza,Cynthia Calvillo,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.81,"['29', '28', '29', '28', '29', '28']",-0.931,0.638,0.906
Oleksiejczuk,Michal Oleksiejczuk,Khalil Rountree Jr.,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.219,0.906,1.0
Jury,Myles Jury,Ricky Glenn,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
DRAW,Marvin Vettori,Omari Akhmedov,-1,-1,2,--,--,-1,1,1,--,--,-1,-1,2,--,--,0.2,"['28', '28', '29', '28', '28', '28']",-0.964,-0.982,-1.405
Nicolau,Matheus Nicolau,Louis Smolka,2,1,1,--,--,2,1,2,--,--,2,1,1,--,--,1.0,"['30', '26', '30', '25', '30', '26']"
dos Anjos,Rafael dos Anjos,Robbie Lawler,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"['50', '45', '50', '45', '50', '45']",0.705,0.819,0.83,0.967,0.921
Makdessi,John Makdessi,Abel Trujillo,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Benitez,Gabriel Benitez,Jason Knight,2,1,1,--,--,2,1,1,--,--,-1,1,1,--,--,1.0,"['30', '26', '30', '26', '29', '27']"
Holtzman,Scott Holtzman,Darrell Horcher,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Anders,Eryk Anders,Markus Perez,1,2,2,--,--,1,1,2,--,--,-1,1,1,--,--,1.0,"['30', '25', '30', '26', '29', '28']"
Lopez,Benito Lopez,Albert Morales,1,1,-1,--,--,1,1,1,--,--,-1,1,1,--,--,0.267,"['29', '28', '30', '27', '29', '28']",-0.196,0.176,-0.706
Davis,Alexis Davis,Liz Carmouche,-1,1,1,--,--,1,1,-1,--,--,1,-1,-1,--,--,0.6,"['29', '28', '29', '28', '28', '29']",0.136,0.409,-0.705
Saenz,Frankie Saenz,Merab Dvalishvili,-1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.286,"['28', '29', '29', '28', '29', '28']",-0.325,-0.7,0.35
Cejudo,Henry Cejudo,Sergio Pettis,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Torres,Tecia Torres,Michelle Waterson-Gomez,1,-1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '30', '27', '29', '28']",1.028,-0.806,0.917
Teymur,David Teymur,Drakkar Klose,1,1,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']",0.514,0.865,0.649
Herrig,Felice Herrig,Cortney Casey,1,1,-1,--,--,-1,1,1,--,--,-1,-1,1,--,--,0.471,"['29', '28', '29', '28', '28', '29']",-0.4,0.542,0.114
Guan,Wang Guan,Alex Caceres,1,-1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['28', '29', '29', '28', '29', '28']",1.51,1.0,0.244
Xiaonan,Yan Xiaonan,Kailin Curran,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']"
Mazany,Gina Mazany,Wu Yanan,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Dy,Rolando Dy,Wuliji Buren,1,1,-1,--,--,1,1,1,--,--,1,1,1,--,--,0.727,"['29', '28', '30', '27', '30', '27']"
Werdum,Fabricio Werdum,Marcin Tybura,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1.0,"['50', '45', '49', '46', '50', '45']",1.0,0.826,0.956,1.043,-0.196
Clark,Jessica-Rose Clark,Bec Rawlings,-1,1,-1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['28', '29', '29', '28', '29', '28']",0.0,1.031,0.75
Muhammad,Belal Muhammad,Tim Means,1,-1,1,--,--,1,-1,-1,--,--,-1,1,1,--,--,1.0,"['29', '28', '28', '29', '29', '28']",0.652,-0.652,0.348
Matthews,Jake Matthews,Bojan Velickovic,1,-1,1,--,--,1,-1,1,--,--,1,-1,-1,--,--,0.214,"['29', '28', '29', '28', '28', '29']",-0.089,-1.067,0.311
Theodorou,Elias Theodorou,Daniel Kelly,1,1,0,--,--,1,1,1,--,--,1,2,1,--,--,1.0,"['30', '28', '30', '27', '30', '26']",0.48,0.46,0.18
Volkanovski,Alexander Volkanovski,Shane Young,1,1,1,--,--,1,1,2,--,--,1,2,1,--,--,1.0,"['30', '27', '30', '26', '30', '26']"
Camacho,Frank Camacho,Damien Brown,-1,1,1,--,--,1,1,1,--,--,-1,1,-1,--,--,1.0,"['29', '28', '30', '27', '28', '29']"
Kassem,Nadia Kassem,Alex Chambers,-1,2,1,--,--,-1,2,1,--,--,-1,1,1,--,--,1.0,"['29', '27', '29', '27', '29', '28']"
Shelton,Eric Shelton,Jenel Lausa,1,1,2,--,--,1,1,1,--,--,1,2,2,--,--,1.0,"['30', '26', '30', '27', '30', '25']"
Wieczorek,Adam Wieczorek,Anthony Hamilton,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.692,"['29', '28', '29', '28', '29', '28']",-1.0,1.0,0.419
Arlovski,Andrei Arlovski,Junior Albini,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",0.258,0.942,1.0
Moraes,Marlon Moraes,John Dodson,1,1,1,--,--,1,1,1,--,--,-1,-1,-1,--,--,0.786,"['30', '27', '30', '27', '27', '30']",-0.519,0.726,0.304
Suarez,Tatiana Suarez,Viviane Pereira,1,1,1,--,--,1,1,1,--,--,1,2,2,--,--,1.0,"['30', '27', '30', '27', '30', '25']"
Northcutt,Sage Northcutt,Michel Quinones,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Strickland,Sean Strickland,Court McGee,1,1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['30', '27', '29', '28', '29', '28']"
Thompson,Stephen Thompson,Jorge Masvidal,1,1,1,--,--,1,1,2,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '26', '30', '27']",0.856,0.982,1.068
Brown,Randy Brown,Mickey Gall,1,-1,1,--,--,1,-1,2,--,--,1,-1,1,--,--,0.941,"['29', '28', '29', '27', '29', '28']",1.125,-1.225,1.2
Covington,Colby Covington,Demian Maia,-1,1,2,--,--,1,1,1,--,--,1,1,2,--,--,1.0,"['29', '27', '30', '27', '30', '26']",-0.13,0.943,1.604
Lineker,John Lineker,Marlon Vera,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']",0.938,0.876,-0.562
Zaleski dos Santos,Elizeu Zaleski dos Santos,Max Griffin,1,-1,1,--,--,1,-1,1,--,--,2,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '27']"
Figueiredo,Deiveson Figueiredo,Jarred Brooks,-1,-1,-1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.429,"['27', '30', '29', '28', '29', '28']",-0.93,-0.19,0.05
Kowalkiewicz,Karolina Kowalkiewicz,Jodie Esquibel,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Piechota,Oskar Piechota,Jonathan Wilson,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Held,Marcin Held,Nasrat Haqparast,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,0.938,"['30', '27', '30', '27', '30', '27']",-0.048,-0.21,0.596
Emeev,Ramazan Emeev,Sam Alvey,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Fili,Andre Fili,Artem Lobov,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",1.151,0.333,1.03
Alves,Warlley Alves,Salim Touahri,1,1,-1,--,--,1,-1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']"
Emmett,Josh Emmett,Felipe Arantes,2,1,1,--,--,2,1,1,--,--,3,1,1,--,--,1.0,"['30', '26', '30', '26', '30', '25']",2.562,0.375,0.969
Stamann,Cody Stamann,Tom Duquesnoy,-1,-1,1,--,--,1,1,1,--,--,-1,1,1,--,--,0.923,"['28', '29', '30', '27', '29', '28']",-0.778,0.689,0.956
DRAW,Lando Vannata,Bobby Green,-1,1,-1,--,--,-1,1,1,--,--,-1,-1,-1,--,--,0.538,"['28', '28', '29', '27', '27', '29']",-0.034,-0.983,-0.933
Botelho,Poliana Botelho,Pearl Gonzalez,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Schnell,Matt Schnell,Marco Beltran,1,1,1,--,--,1,-1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']"
Tavares,Brad Tavares,Thales Leites,1,1,2,--,--,1,1,2,--,--,1,1,1,--,--,1.0,"['30', '26', '30', '26', '30', '27']"
Andrade,Jessica Andrade,Cláudia Gadelha,1,1,2,--,--,1,2,2,--,--,1,1,1,--,--,1.0,"['30', '26', '30', '25', '30', '27']",-0.108,1.325,1.986
Ishihara,Teruto Ishihara,Rolando Dy,2,-1,-1,--,--,2,-1,2,--,--,2,-1,-1,--,--,1.0,"['28', '27', '29', '26', '28', '27']",1.738,-0.789,0.369
Nakamura,Keita Nakamura,Alex Morono,-1,1,1,--,--,-1,-1,1,--,--,-1,1,1,--,--,0.909,"['29', '28', '28', '29', '29', '28']"
Kondo,Syuri Kondo,Chan-Mi Jeon,1,1,1,--,--,1,1,1,--,--,-1,1,-1,--,--,0.923,"['30', '27', '30', '27', '28', '29']"
Anzai,Shinsho Anzai,Luke Jumeau,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,0.923,"['29', '28', '29', '28', '30', '27']"
Abe,Daichi Abe,Hyun Gyu Lim,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.917,"['29', '28', '29', '28', '29', '28']"
Ledet,Justin Ledet,Zu Anyanwu,1,1,-1,--,--,-1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '28', '29', '29', '28']",0.4,0.45,-0.825
Aubin-Mercier,Olivier Aubin-Mercier,Anthony Rocco Martin,-1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.625,"['28', '29', '29', '28', '29', '28']",0.658,1.0,-1.105
Nunes,Amanda Nunes,Valentina Shevchenko,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,0.455,"['48', '47', '48', '47', '47', '48']",0.901,-0.716,-0.418,-0.706,0.243
Stephens,Jeremy Stephens,Gilbert Melendez,1,1,2,--,--,1,2,2,--,--,1,1,2,--,--,1.0,"['30', '26', '30', '25', '30', '26']",1.059,1.347,1.81
Glenn,Ricky Glenn,Gavin Tucker,1,2,3,--,--,-1,1,2,--,--,1,2,2,--,--,1.0,"['30', '24', '29', '27', '30', '25']",0.892,1.859,2.738
Bhullar,Arjan Bhullar,Luis Henrique,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.923,"['29', '28', '29', '28', '29', '28']"
Till,Darren Till,Bojan Velickovic,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Khabilov,Rustam Khabilov,Desmond Green,1,1,-1,--,--,1,1,1,--,--,1,1,-1,--,--,0.308,"['29', '28', '30', '27', '29', '28']",0.534,-0.2,-0.734
Rakic,Aleksandar Rakic,Francimar Barroso,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Pettis,Sergio Pettis,Brandon Moreno,-1,1,1,1,1,-2,1,1,1,1,-2,1,1,1,1,0.824,"['49', '46', '48', '46', '48', '46']",-1.747,0.948,1.095,0.895,-0.031
Grasso,Alexa Grasso,Randa Markos,1,-1,1,--,--,1,-1,1,--,--,1,-1,-1,--,--,0.833,"['29', '28', '29', '28', '28', '29']",0.769,-0.954,0.154
Alvey,Sam Alvey,Rashad Evans,-1,1,1,--,--,1,1,-1,--,--,-1,1,-1,--,--,0.789,"['29', '28', '29', '28', '28', '29']",-0.5,0.576,0.606
Perez,Alejandro Perez,Andre Soukhamthath,-1,-1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.2,"['28', '29', '29', '28', '29', '28']",-1.173,-0.396,0.707
Quinonez,Jose Quinonez,Diego Rivas,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Woodley,Tyron Woodley,Demian Maia,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1.0,"['49', '46', '50', '45', '49', '46']",0.082,0.925,0.721,0.694,0.408
Lawler,Robbie Lawler,Donald Cerrone,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.773,"['29', '28', '29', '28', '29', '28']",0.836,-1.059,0.353
Sterling,Aljamain Sterling,Renan Barão,-1,2,1,--,--,1,2,1,--,--,-1,1,1,--,--,1.0,"['29', '27', '30', '26', '29', '28']",-0.887,1.585,0.924
Kattar,Calvin Kattar,Andre Fili,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Albu,Alexandra Albu,Kailin Curran,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",0.858,0.81,-1.048
Brooks,Jarred Brooks,Eric Shelton,1,-1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.111,"['28', '29', '29', '28', '29', '28']",0.794,-0.343,-0.946
Elkins,Darren Elkins,Dennis Bermudez,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.412,"['29', '28', '28', '29', '29', '28']",0.831,-0.014,-0.916
Cummins,Patrick Cummins,Gian Villante,-1,1,-1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['28', '29', '29', '28', '29', '28']",-0.915,0.958,0.468
Rivera,Jimmie Rivera,Thomas Almeida,2,1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['30', '26', '30', '27', '29', '28']",1.367,-0.816,0.516
Zaleski dos Santos,Elizeu Zaleski dos Santos,Lyman Good,1,1,1,--,--,1,1,1,--,--,-1,-1,1,--,--,0.385,"['30', '27', '30', '27', '28', '29']",-0.472,-0.566,1.0
Sherman,Chase Sherman,Damian Grabowski,1,1,1,--,--,1,1,1,--,--,2,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '26']"
Kennedy,Jeremy Kennedy,Kyle Bochniak,1,1,1,--,--,1,1,1,--,--,1,1,-1,--,--,1.0,"['30', '27', '30', '27', '29', '28']"
Burgos,Shane Burgos,Godofredo Pepey,1,1,2,--,--,1,1,2,--,--,1,-1,1,--,--,1.0,"['30', '26', '30', '26', '29', '28']"
Wade,Chris Wade,Frankie Perez,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']"
