Winner,Opponent_A,Opponent_B,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media_score_ratio_of_agreement,Full_Scores,Rd1_Fans,Rd2_Fans,Rd3_Fans,Rd4_Fans,Rd5_Fans
Sandhagen,Cory Sandhagen,Marlon Vera,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1.0,"['50', '45', '49', '46', '47', '48']",1.143,1.061,0.514,0.805,0.727
Holm,Holly Holm,Yana Santos,1,1,1,--,--,1,1,1,--,--,1,2,1,--,--,1.0,"['30', '27', '30', '27', '30', '26']",0.808,1.596,1.333
Barber,Maycee Barber,Andrea Lee,1,1,-1,--,--,1,-1,-1,--,--,1,1,1,--,--,0.529,"['29', '28', '28', '29', '30', '27']",-0.158,-0.449,-0.487
Duraev,Albert Duraev,Chidi Njokuani,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.5,"['29', '28', '28', '29', '29', '28']",1.0,-0.333,-0.878
Alexander,Lucas Alexander,Steven Peterson,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Altamirano,Victor Altamirano,Vinicius Salvador,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",0.85,-0.35,0.6
Edwards,Leon Edwards,Kamaru Usman,1,1,-1,-1,1,1,1,-2,1,1,1,-1,-2,1,1,0.594,"['48', '46', '48', '46', '47', '47']",0.983,-0.037,-1.236,0.537,0.837
Gaethje,Justin Gaethje,Rafael Fiziev,-1,1,1,--,--,-1,-1,2,--,--,1,-1,1,--,--,0.63,"['29', '28', '28', '28', '29', '28']",-0.857,0.191,1.024
Maia,Jennifer Maia,Casey O'Neill,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']",0.904,0.822,-0.113
Vettori,Marvin Vettori,Roman Dolidze,-1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,0.5,"['29', '28', '29', '28', '30', '27']",-0.852,0.702,-0.071
Duncan,Chris Duncan,Omar Morales,-1,1,1,--,--,-1,1,1,--,--,-1,-1,-1,--,--,0.789,"['29', '28', '29', '28', '27', '30']",-0.754,0.26,0.603
Murphy,Lerone Murphy,Gabriel Santos,-1,-1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.105,"['28', '29', '29', '28', '29', '28']",-0.79,-0.696,0.661
Wood,Joanne Wood,Luana Carolina,1,1,-1,--,--,1,1,1,--,--,-1,1,-1,--,--,1.0,"['29', '28', '30', '27', '28', '29']",0.81,0.69,0.666
DRAW,Jai Herbert,Ludovit Klein,1,-1,-1,--,--,1,1,-1,--,--,1,-1,-1,--,--,0.778,"['28', '28', '29', '27', '28', '28']",-0.968,-0.968,-0.062
Hardy,Veronica Hardy,Juliana Miller,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",1.0,1.0,1.026
Dvalishvili,Merab Dvalishvili,Petr Yan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"['50', '45', '50', '45', '50', '45']",0.809,0.839,0.733,0.844,0.964
Martinez,Jonathan Martinez,Said Nurmagomedov,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.235,"['29', '28', '29', '28', '29', '28']",-0.963,0.482,-0.303
Petrino,Vitor Petrino,Anton Turkalj,1,1,1,--,--,1,1,1,--,--,2,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '26']",0.935,-0.544,0.739
